name,board,variant,LED,flash_size
AirM2M_CORE_ESP32C3,AirM2M_CORE_ESP32C3,AirM2M_CORE_ESP32C3,12,[4MB]
Bee Data Logger,Bee_Data_Logger,Bee_Data_Logger,N/A,[8MB]
Bee Motion,Bee_Motion,Bee_Motion,N/A,[4MB]
Bee Motion Mini,Bee_Motion_Mini,Bee_Motion_Mini,N/A,[4MB]
Bee Motion S3,Bee_Motion_S3,Bee_Motion_S3,N/A,[8MB]
Bee S3,Bee_S3,Bee_S3,N/A,[8MB]
BharatPi A7672S 4G Module,BharatPi-A7672S-4G,BharatPi-A7672S-4G,2,[4MB]
BharatPi LoRa Module,BharatPi-LoRa,BharatPi-LoRa,2,[4MB]
BharatPi Node Wifi Module,BharatPi-Node-Wifi,BharatPi-Node-Wifi,2,[4MB]
Microduino-CoreESP32,CoreESP32,Microduino-esp32,N/A,[4MB]
ET-Board,ET-Board,ET-Board,5,[4MB]
Edgebox-ESP-100,Edgebox-ESP-100,Edgebox-ESP-100,N/A,[4MB]
Geekble Mini ESP32-C3,Geekble_ESP32C3,Geekble_ESP32C3,10,[4MB]
Geekble nano ESP32-S3,Geekble_Nano_ESP32S3,Geekble_Nano_ESP32S3,N/A,[4MB]
INEX OpenKB,OpenKB,openkb,16,[4MB]
Pcbcupid GLYPH C3,Pcbcupid_GLYPH_C3,Pcbcupid_GLYPH_C3,1,[4MB]
Pcbcupid GLYPH C6,Pcbcupid_GLYPH_C6,Pcbcupid_GLYPH_C6,14,[4MB]
Pcbcupid GLYPH H2,Pcbcupid_GLYPH_H2,Pcbcupid_GLYPH_H2,0,[4MB]
S.ODI Ultra v1,S_ODI_Ultra,S_ODI_Ultra_v1,2,[4MB]
VALTRACK_V4_MFW_ESP32_C3,VALTRACK_V4_MFW_ESP32_C3,VALTRACK_V4_MFW_ESP32_C3,N/A,[4MB]
VALTRACK_V4_VTS_ESP32_C3,VALTRACK_V4_VTS_ESP32_C3,VALTRACK_V4_VTS_ESP32_C3,N/A,[4MB]
WeMos WiFi&Bluetooth Battery,WeMosBat,pocket_32,16,[4MB]
XIAO_ESP32C3,XIAO_ESP32C3,XIAO_ESP32C3,N/A,[4MB]
XIAO_ESP32C6,XIAO_ESP32C6,XIAO_ESP32C6,15,[4MB]
XIAO_ESP32S3,XIAO_ESP32S3,XIAO_ESP32S3,21,[8MB]
XIAO_ESP32S3_PLUS,XIAO_ESP32S3_Plus,XIAO_ESP32S3_Plus,21,[8MB]
Adafruit pyCamera S3,adafruit_camera_esp32s3,adafruit_camera_esp32s3,N/A,[4MB]
Adafruit Feather ESP32 V2,adafruit_feather_esp32_v2,adafruit_feather_esp32_v2,13,[8MB]
Adafruit Feather ESP32-C6,adafruit_feather_esp32c6,adafruit_feather_esp32c6,15,[4MB]
Adafruit Feather ESP32-S2,adafruit_feather_esp32s2,adafruit_feather_esp32s2,N/A,[4MB]
Adafruit Feather ESP32-S2 Reverse TFT,adafruit_feather_esp32s2_reversetft,adafruit_feather_esp32s2_reversetft,N/A,[4MB]
Adafruit Feather ESP32-S2 TFT,adafruit_feather_esp32s2_tft,adafruit_feather_esp32s2_tft,N/A,[4MB]
Adafruit Feather ESP32-S3 2MB PSRAM,adafruit_feather_esp32s3,adafruit_feather_esp32s3,N/A,[4MB]
Adafruit Feather ESP32-S3 No PSRAM,adafruit_feather_esp32s3_nopsram,adafruit_feather_esp32s3_nopsram,N/A,[8MB]
Adafruit Feather ESP32-S3 Reverse TFT,adafruit_feather_esp32s3_reversetft,adafruit_feather_esp32s3_reversetft,N/A,[4MB]
Adafruit Feather ESP32-S3 TFT,adafruit_feather_esp32s3_tft,adafruit_feather_esp32s3_tft,N/A,[4MB]
Adafruit FunHouse,adafruit_funhouse_esp32s2,adafruit_funhouse_esp32s2,N/A,[4MB]
Adafruit ItsyBitsy ESP32,adafruit_itsybitsy_esp32,adafruit_itsybitsy_esp32,13,[8MB]
Adafruit MagTag 2.9",adafruit_magtag29_esp32s2,adafruit_magtag29_esp32s2,N/A,[4MB]
Adafruit MatrixPortal ESP32-S3,adafruit_matrixportal_esp32s3,adafruit_matrixportal_esp32s3,N/A,[8MB]
Adafruit Metro ESP32-S2,adafruit_metro_esp32s2,adafruit_metro_esp32s2,N/A,[4MB]
Adafruit Metro ESP32-S3,adafruit_metro_esp32s3,adafruit_metro_esp32s3,N/A,[16MB]
Adafruit QT Py ESP32,adafruit_qtpy_esp32_pico,adafruit_qtpy_esp32,N/A,[8MB]
Adafruit QT Py ESP32-C3,adafruit_qtpy_esp32c3,adafruit_qtpy_esp32c3,N/A,[4MB]
Adafruit QT Py ESP32-S2,adafruit_qtpy_esp32s2,adafruit_qtpy_esp32s2,N/A,[4MB]
Adafruit QT Py ESP32-S3 (4M Flash 2M PSRAM),adafruit_qtpy_esp32s3_n4r2,adafruit_qtpy_esp32s3_n4r2,N/A,[4MB]
Adafruit QT Py ESP32-S3 No PSRAM,adafruit_qtpy_esp32s3_nopsram,adafruit_qtpy_esp32s3_nopsram,N/A,[8MB]
Adafruit Qualia ESP32-S3 RGB666,adafruit_qualia_s3_rgb666,adafruit_qualia_s3_rgb666,N/A,[16MB]
Alfredo NoU3,alfredo-nou3,alfredo-nou3,N/A,[8MB]
ALKS ESP32,alksesp32,alksesp32,23,[4MB]
AutosportLabs ESP-CAN-X2,aslcanx2,aslcanx2,2,[8MB]
ATD1.47-S3,atd147_s3,atd147_s3,N/A,[8MB]
ATD3.5-S3,atd35s3,atd35s3,5,[8MB]
ATMegaZero ESP32-S2,atmegazero_esp32s2,atmegazero_esp32s2,N/A,[16MB]
