name,board,LED,flash_size
Lifely Agrumino Lemon v4,agruminolemon,2,[2M]
Arduino,arduino-esp8266,1,[4M]
SparkFun Blynk Board,blynk,5,[4M]
XinaBox CW01,cw01,5,[4M]
LOLIN(WeMos) D1 R1,d1,2,[4M]
LOLIN(WEMOS) D1 R2 & mini,d1_mini,2,[4M]
LOLIN(WEMOS) D1 mini (clone),d1_mini_clone,2,[4M]
LOLIN(WEMOS) D1 mini Lite,d1_mini_lite,2,[1M]
LOLIN(WEMOS) D1 mini Pro,d1_mini_pro,2,[16M]
LOLIN(WEMOS) D1 ESP-WROOM-02,d1_wroom_02,2,[2M]
Schirmilabs Eduino WiFi,eduinowifi,2,[4M]
SweetPea ESP-210,esp210,1,[4M]
Generic ESP8285 Module,esp8285,1,[1M;2M]
ESPDuino (ESP-13 Module),espduino,16,[4M]
ESPectro Core,espectro,15,[4M]
ESPino (ESP-12 Module),espino,2,[4M]
ThaiEasyElec's ESPino,espinotee,16,[4M]
DOIT ESP-Mx DevKit (ESP8285),espmxdevkit,1,[1M]
ESPresso Lite 1.0,espresso_lite_v1,16,[4M]
ESPresso Lite 2.0,espresso_lite_v2,2,[4M]
4D Systems gen4 IoD Range,gen4iod,1,[2M;512K]
Generic ESP8266 Module,generic,1,[1M;2M;4M;8M;16M;512K]
Adafruit Feather HUZZAH ESP8266,huzzah,0,[4M]
Invent One,inventone,2,[4M]
Olimex MOD-WIFI-ESP8266(-DEV),modwifi,1,[2M]
NodeMCU 0.9 (ESP-12 Module),nodemcu,2,[4M]
NodeMCU 1.0 (ESP-12E Module),nodemcuv2,2,[4M]
Digistump Oak,oak,5,[4M]
Phoenix 1.0,phoenix_v1,16,[4M]
Phoenix 2.0,phoenix_v2,2,[4M]
ITEAD Sonoff,sonoff,13,[1M]
SparkFun ESP8266 Thing,thing,5,[512K]
SparkFun ESP8266 Thing Dev,thingdev,5,[512K]
WiFi Kit 8,wifi_kit_8,0,[4M]
Amperka WiFi Slot,wifi_slot,2,[1M;2M]
WifInfo,wifinfo,12,[1M]
Seeed Wio Link,wiolink,2,[4M]
