name,board,variant,LED,flash_size
Lifely Agrumino Lemon v4,agruminolemon,agruminolemonv4,2,esp8266,[2MB]
Arduino,arduino-esp8266,generic,1,esp8266,[4MB]
SparkFun Blynk Board,blynk,thing,5,esp8266,[4MB]
XinaBox CW01,cw01,xinabox,5,esp8266,[4MB]
LOLIN(WeMos) D1 R1,d1,d1,2,esp8266,[4MB]
LOLIN(WEMOS) D1 R2 & mini,d1_mini,d1_mini,2,esp8266,[4MB]
LOLIN(WEMOS) D1 mini (clone),d1_mini_clone,d1_mini,2,esp8266,[4MB]
LOLIN(WEMOS) D1 mini Lite,d1_mini_lite,d1_mini,2,esp8266,[1MB]
LOLIN(WEMOS) D1 mini Pro,d1_mini_pro,d1_mini,2,esp8266,[16MB]
LOLIN(WEMOS) D1 ESP-WROOM-02,d1_wroom_02,d1_mini,2,esp8266,[2MB]
Schirmilabs Eduino WiFi,eduinowifi,eduinowifi,2,esp8266,[4MB]
SweetPea ESP-210,esp210,generic,1,esp8266,[4MB]
Generic ESP8285 Module,esp8285,esp8285,1,esp8266,[1MB;2MB]
ESPDuino (ESP-13 Module),espduino,ESPDuino,16,esp8266,[4MB]
ESPectro Core,espectro,espectro,15,esp8266,[4MB]
ESPino (ESP-12 Module),espino,espino,2,esp8266,[4MB]
ThaiEasyElec's ESPino,espinotee,espinotee,16,esp8266,[4MB]
DOIT ESP-Mx DevKit (ESP8285),espmxdevkit,esp8285,1,esp8266,[1MB]
ESPresso Lite 1.0,espresso_lite_v1,espresso_lite_v1,16,esp8266,[4MB]
ESPresso Lite 2.0,espresso_lite_v2,espresso_lite_v2,2,esp8266,[4MB]
4D Systems gen4 IoD Range,gen4iod,generic,1,esp8266,[512KB;2MB]
Generic ESP8266 Module,generic,generic,1,esp8266,[512KB;1MB;2MB;4MB;8MB;16MB]
Adafruit Feather HUZZAH ESP8266,huzzah,adafruit,0,esp8266,[4MB]
Invent One,inventone,inventone,2,esp8266,[4MB]
Olimex MOD-WIFI-ESP8266(-DEV),modwifi,modwifi,1,esp8266,[2MB]
NodeMCU 0.9 (ESP-12 Module),nodemcu,nodemcu,2,esp8266,[4MB]
NodeMCU 1.0 (ESP-12E Module),nodemcuv2,nodemcu,2,esp8266,[4MB]
Digistump Oak,oak,oak,5,esp8266,[4MB]
Phoenix 1.0,phoenix_v1,phoenix_v1,16,esp8266,[4MB]
Phoenix 2.0,phoenix_v2,phoenix_v2,2,esp8266,[4MB]
ITEAD Sonoff,sonoff,itead,13,esp8266,[1MB]
SparkFun ESP8266 Thing,thing,thing,5,esp8266,[512KB]
SparkFun ESP8266 Thing Dev,thingdev,thing,5,esp8266,[512KB]
WiFi Kit 8,wifi_kit_8,wifi_kit_8,0,esp8266,[4MB]
Amperka WiFi Slot,wifi_slot,wifi_slot,2,esp8266,[1MB;2MB]
WiFiduino,wifiduino,wifiduino,N/A,esp8266,[4MB]
WifInfo,wifinfo,wifinfo,12,esp8266,[1MB]
Seeed Wio Link,wiolink,wiolink,2,esp8266,[4MB]
