name,board,LED,flash_size
Lifely Agrumino Lemon v4,agruminolemon,2,[2MB]
Arduino,arduino-esp8266,1,[4MB]
SparkFun Blynk Board,blynk,5,[4MB]
XinaBox CW01,cw01,5,[4MB]
LOLIN(WeMos) D1 R1,d1,2,[4MB]
LOLIN(WEMOS) D1 R2 & mini,d1_mini,2,[4MB]
LOLIN(WEMOS) D1 mini (clone),d1_mini_clone,2,[4MB]
LOLIN(WEMOS) D1 mini Lite,d1_mini_lite,2,[1MB]
LOLIN(WEMOS) D1 mini Pro,d1_mini_pro,2,[16MB]
LOLIN(WEMOS) D1 ESP-WROOM-02,d1_wroom_02,2,[2MB]
Schirmilabs Eduino WiFi,eduinowifi,2,[4MB]
SweetPea ESP-210,esp210,1,[4MB]
Generic ESP8285 Module,esp8285,1,[1MB;2MB]
ESPDuino (ESP-13 Module),espduino,16,[4MB]
ESPectro Core,espectro,15,[4MB]
ESPino (ESP-12 Module),espino,2,[4MB]
ThaiEasyElec's ESPino,espinotee,16,[4MB]
DOIT ESP-Mx DevKit (ESP8285),espmxdevkit,1,[1MB]
ESPresso Lite 1.0,espresso_lite_v1,16,[4MB]
ESPresso Lite 2.0,espresso_lite_v2,2,[4MB]
4D Systems gen4 IoD Range,gen4iod,1,[512KB;2MB]
Generic ESP8266 Module,generic,1,[512KB;1MB;2MB;4MB;8MB;16MB]
Adafruit Feather HUZZAH ESP8266,huzzah,0,[4MB]
Invent One,inventone,2,[4MB]
Olimex MOD-WIFI-ESP8266(-DEV),modwifi,1,[2MB]
NodeMCU 0.9 (ESP-12 Module),nodemcu,2,[4MB]
NodeMCU 1.0 (ESP-12E Module),nodemcuv2,2,[4MB]
Digistump Oak,oak,5,[4MB]
Phoenix 1.0,phoenix_v1,16,[4MB]
Phoenix 2.0,phoenix_v2,2,[4MB]
ITEAD Sonoff,sonoff,13,[1MB]
SparkFun ESP8266 Thing,thing,5,[512KB]
SparkFun ESP8266 Thing Dev,thingdev,5,[512KB]
WiFi Kit 8,wifi_kit_8,0,[4MB]
Amperka WiFi Slot,wifi_slot,2,[1MB;2MB]
WiFiduino,wifiduino,N/A,[4MB]
WifInfo,wifinfo,12,[1MB]
Seeed Wio Link,wiolink,2,[4MB]
